id,first_name,last_name,,,
1,Harry ,Potter,,,
2,Hermione,Granger,,,
3,Ron ,Weasley,,,
4,Sirius,Black,,,
5,Bellatrix,Lestrange,,,
6,Filius,Flitwick,,,
7,Fred,Weasley,,,
8,Lord,Voldemort,,,
9,Rubeus,Hagrid,,,
10,Horace,Slughorn,,,
11,Mad-Eye,Moody,,,
12,Viktor,Krum,,,
13,Amycus,Carrow,,,
14,Amos ,Diggory,,,
15,Cedric ,Diggory,,,
16,Draco,Malfoy,,,
17,Neville,Longbottom,,,
18,Vincent,Crabbe,,,
19,Nymphadora,Tonks,,,
20,Remus,Lupin,,,
21,James,Potter,,,
22,Aberforth,Dumbledore,,, 
23,Severus,Snape,,,
24,Madam,Hooch,,,
25,Dolores,Umbridge,,,
26,Arthur,Weasley,,,
27,Ginny,Weasley,,,
28,Albus,Dumbledore,,,
29,Barty Jr.,Crouch,,,
30,Gilderoy,Lockhart,,,
31,Mr. ,Ollivander,,,
32,Minerva,McGonagall,,,
33,Ludo,Bagman,,,
34,Dean,Thomas,,,
35,Seamus,Finnegan,,,
36,Parvati,Patil,,,
37,Ernie,Macmillan,,,
38,Antonin,Dolohov,,,
39,Molly,Weasley,,,
