id,book_id,excerpt,spell_id,char_id
1,4,", entirely and absolutely, upon the thing that was his only chance, … he raised his wand, accio firebolt! he shouted, Harry waited, every fiber of him hoping, praying, … if it",1,1
2,4,"! mine! snape had reached out for it, a horrible expression of dawning comprehension on his face — accio parchment! the map flew up into the air, slipped through snape’s out_stretched fingers, and soared down",1,1
3,4,"? nothing! don’t you lie to me! mrs. weasley pointed her wand at george’s pocket and said, accio! several small, brightly colored objects zoomed out of george’s pocket; he made a grab for them",1,39
4,4,"and it was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including the lining",1,39
5,4,"flamed in the darkness, Harry saw his mouth curl into a smile, saw him raise his wand, accio! Harry yelled, pointing his wand at the triwizard cup, it flew into the air and soared",1,1
6,4,"he could try again, threaten me with a dragon, right … he raised his wand once more, accio dictionary! the heavy book soared out of hermione’s hand, flew across the room, and Harry caught",1,1
7,4,"possible, and it was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including",1,39
8,4,"was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including the lining of george’s",1,39
9,5,", said george, and before umbridge could say a word, they raised their wands and said together, accio brooms! Harry heard a loud crash somewhere in the distance, looking to his left he ducked just",1,7
10,5,", said sirius encouragingly, come on, let’s all … let’s all have a drink while we’re waiting, accio butterbeer! he raised his wand as he spoke and half a dozen bottles came flying toward them out",1,4
11,5,"anger now, you’ve got it, potter, and you will give it to me — accio prophecy! accio prophecy! Harry laughed again because he knew it would incense her, the pain building in his head",1,5
12,5,"but ron had already pointed his wand at the tank, honest, Harry, they’re brains — look — accio brain! the scene seemed momentarily frozen, Harry, ginny, and neville and each of the death",1,3
13,5,"Harry pointed his wand at the bullfrog that had been hopping hopefully toward the other side of the table — accio! — and it zoomed gloomily back into his hand, charms was always one of the best lessons",1,1
14,5,"home, will you? the words were hardly out of his mouth when the female death eater shrieked, accio proph — Harry was just ready for her, he shouted protego! before she had finished her spell",1,
15,5,"legs, but the shield charm had stopped the worst of the spell, dolohov raised his wand again, accio proph — sirius hurtled out of nowhere, rammed dolohov with his shoulder, and sent him flying out",1,4
16,5,"sprawled on his back on the table, with his head lying inside the jar full of glittering wind, accio wand! cried hermione, Harry’s wand flew from a dark cor_ner into her hand and she threw it",1,2
17,5,"squeaked professor flitwick, that means you too, stebbins! please remain seated while i collect your parch_ment! accio! more than a hundred rolls of parchment zoomed into the air and into professor flitwick’s outstretched arms,",1,6
18,5,"terror behind the anger now, you’ve got it, potter, and you will give it to me — accio prophecy! accio prophecy! Harry laughed again because he knew it would incense her, the pain building",1,5
19,6,"… okay … Harry had not expected this, but cleared his throat and said loudly, wand aloft, accio horcrux! with a noise like an explosion, something very large and pale erupted out of the dark",1,1
20,6,"i run and fetch —? no, Harry can do it, Harry raised his wand at once, accio rosmerta’s brooms! a second later they heard a loud bang as the front door of the pub burst",1,1
21,6,"so he tried to summon his wand, which had fallen out of his hand, by saying the words accio wand! over and over again in his head, but nothing happened, he thought he could hear",1,1
22,7,", pinned to the floor, yes, whispered the voice, yesss … hold you … hold you … accio … accio wand … but nothing happened and he needed his hands to try to force the snake from",1,1
23,7,"hesitated, looking up and down aisles of junk; he could not remember where to go next, … accio diadem! cried hermione in desperation, but nothing flew through the air toward them, it seemed that",1,2
24,7,"his camp bed, pointed it at the cluttered desk where he had left his glasses, and said, accio glasses! although they were only around a foot away, there was something immensely satisfying about seeing them",1,1
25,7,"in his pocket, then he turned to face the room again, raised his wand, and murmured, accio locket, nothing happened, but he had not expected it to; no doubt umbridge knew all about",1,1
26,7,"one of the death eaters waved his wand and the scream stopped, still echoing around the distant mountains, accio cloak! roared one of the death eaters, Harry seized its folds, but it made no attempt",1,
27,7,"quickly! he grabbed his wand from the ground and pointed it into the depths of the magical bag, accio dittany! a small brown bottle zoomed out of the bag; he caught it and hastened back to",1,1
28,7,"reposing upon the bottom of the frozen pool, he pointed the wand at the silvery shape and murmured, accio sword, it did not stir, he had not expected it to, if it had been that",1,1
