id,spell_name,type_id,spell_effect
1,Accio,1,Summons an object
2,Aguamenti,1,Shoots water from wand.
3,Alohomora,1,Opens locked objects
4,Anapneo,2,Clears the target's airway.
5,Aparecium,2,Reveals invisible ink
6,Avada Kedavra,3,Murders opponent Unforgivable
7,Avifors,1,Turns small objects into birds
8,Avis,2,Launches birds from your wand
9,Cave Inimicum,2,Strengthen an enclosure from enemies
10,Colloportus,2,Magically locks door
11,Confringo,3,Explode Flames on target
12,Confundus,1,Used to confuse opponent
13,Conjunctivitis,3,Damages opponents eyesight
14,Crucio,3,Tortures opponent Unforgivable
15,Defodio,2,Dig out materials
16,Deletrius,2,"Counters ""Prior Incatato"""
17,Densaugeo,2,Enlarges Teeth
18,Deprimo,2,Wind Damaging Spell
19,Diffindo,2,Splits seams
20,Dissendium,2,"Opens ""One eyed witch"" hump"
21,Duro,2,Makes Objects Hard
22,Engorgio,1,Enlarges and item
23,Ennervate,2,Counters Stupefy
24,Episkey,2,Heals minor injuries
25,Erecto,2,Erects things
26,Expecto Patronum,1,Creates a Patronus
27,Expelliarmus,1,Disarms your opponent
28,Expulso,2,Makes Objects Explode
29,Ferula,2,Creates bandages
30,Fidelius,1,Hides a secret within someone
31,Finite Incantatum,2,Stops any current spells
32,Flagrate,2,Allows user to write on objects
33,Flipendo,4,Knocks an object backwards
34,Furnunculus,3,Produces boils on opponent
35,Geminio,2,Duplicates an Object
36,Glisseo,2,Turns stairs into ramps
37,Homenum Revelio,2,Reveals humans nearby
38,Homorphus,1,"Lockhart's Werewolf ""cure"""
39,Immobulus,1,Renders target immobile.
40,Impedimenta,1,Slows an advancing object
41,Imperio,3,Controls a person Unforgivable
42,Impervius,1,Makes an object repel water
43,Incarcerous,2,Ties someone up
44,Incendio,2,Starts a fire
45,Langlock,2,Glues opponent's tongue to roof of mouth
46,Legilimens,2,Allows the caster to delve into the mind of the victim
47,Levicorpus,2,Hangs victim upside down by feet
48,Liberacorpus,2,Counterspell
49,Locomotor Mortis,3,Locks opponents legs
50,Lumos,2,Creates light at wand tip
51,Meteolojinx Recanto,2,Causes weather effect spells to stop
52,Mobiliarbus,1,Moves objects with wand
53,Mobilicorpus,2,Moves unconscious bodies
54,Morsmordre,2,Conjures the Dark Mark
55,Muffliato,2,Prevents nearby people from listening to conversations
56,Nox,2,Counter to Lumos
57,Obliviate,1,Erases memories
58,Obscuro,2,Blindfolds the victim
59,Oppugno,2,Makes conjured items attack
60,Orchideous,2,Conjures a bunch of flowers
61,Pack,2,Packs a trunk (suitcase)
62,Peskipiksi Pesternomi,2,Removes Pixies (maybe)
63,Petrificus Totalus,2,Body - Bind
64,Piertotum Locomotor,2,Animates statues and armor suits
65,Point Me,1,Wand acts like a compass
66,Priori Incantatum,2,Result when brother wands duel
67,Prior Incantato,2,Reveals a wands last spell / cast
68,Protego,1,Cause spells to reflect back to the sender. 
69,Protego Horribilis,2,Protects one from Dark Magic
70,Protego Totalum,2,Area Protection Spell
71,Quietus,2,Counter spell for Sonorus
72,Reducio,2,Returns items to original size. Counters Engorgio
73,Reducto,2,Blasts solid objects aside
74,Relashio,2,Releases user from binding
75,Rennervate,2,Cures unconsciousness
76,Reparo,2,Repairs Things
77,Repello Muggletum,2,Keeps Muggles away
78,Rictusempra,1,Tickles opponent
79,Riddikulus,2,Use this spell and laugh to defeat a boggart
80,Salvio Hexia,2,Protection against hexes
81,Scruge,1,Destroys ectoplasm (remains of ghosts)
82,Sectumsempra,2,Causes wounds as if slashed by a sword
83,Serpensortia,2,Produces Snake
84,Silencio,2,Silences victim
85,Sonorus,2,Amplifies voice
86,Specialis Revelio,2,Reveals Hidden secrets or magical properties
87,Stupefy,2,Knocks out opponent
88,Tarantallegra,2,Forces opponent to dance
89,Tergeo,2,Cleans up messes
90,Waddiwasi,2,Unsticks an object
91,Wingardium Leviosa,1,Makes an object fly
92,Eat Slugs,3,Makes the opponent barf slugs
